run_name,backbone,arch_family,condition,pretrained,freeze_backbone,train_fraction,tier,epochs_cap,ref_ft_bs,ref_ft_reserved_gb,config,status,best_epoch,val_mean_dice,test_mean_dice,hd95_mean,nsd_mean,peak_vram_gb,wall_clock_h,wandb_url,ckpt_path,notes
ls_biomedparse_ft_pt_f001,biomedparse,Focal2D,ft_pt,True,False,0.01,core-finetune,200,2,42.72,configs/lowshot/ls_biomedparse_ft_pt_f001.yaml,,,,,,,,,,,
ls_biomedparse_ft_pt_f005,biomedparse,Focal2D,ft_pt,True,False,0.05,core-finetune,300,2,42.72,configs/lowshot/ls_biomedparse_ft_pt_f005.yaml,,,,,,,,,,,
ls_biomedparse_ft_pt_f010,biomedparse,Focal2D,ft_pt,True,False,0.1,core-finetune,400,2,42.72,configs/lowshot/ls_biomedparse_ft_pt_f010.yaml,,,,,,,,,,,
ls_biomedparse_ft_pt_f025,biomedparse,Focal2D,ft_pt,True,False,0.25,core-finetune,500,2,42.72,configs/lowshot/ls_biomedparse_ft_pt_f025.yaml,,,,,,,,,,,
ls_biomedparse_ft_pt_f100,biomedparse,Focal2D,ft_pt,True,False,1.0,core-finetune,500,2,42.72,configs/lowshot/ls_biomedparse_ft_pt_f100.yaml,done,,0.8628,,1.9358,,,,,runs/biomedparse_run/best.pt,backfilled from runs/biomedparse_run (eval on best.pt)
ls_ctclip_ft_pt_f001,ctclip,CTViT,ft_pt,True,False,0.01,core-finetune,200,1,49.59,configs/lowshot/ls_ctclip_ft_pt_f001.yaml,,,,,,,,,,,
ls_ctclip_ft_pt_f005,ctclip,CTViT,ft_pt,True,False,0.05,core-finetune,300,1,49.59,configs/lowshot/ls_ctclip_ft_pt_f005.yaml,,,,,,,,,,,
ls_ctclip_ft_pt_f010,ctclip,CTViT,ft_pt,True,False,0.1,core-finetune,400,1,49.59,configs/lowshot/ls_ctclip_ft_pt_f010.yaml,,,,,,,,,,,
ls_ctclip_ft_pt_f025,ctclip,CTViT,ft_pt,True,False,0.25,core-finetune,500,1,49.59,configs/lowshot/ls_ctclip_ft_pt_f025.yaml,,,,,,,,,,,
ls_ctclip_ft_pt_f100,ctclip,CTViT,ft_pt,True,False,1.0,core-finetune,500,1,49.59,configs/lowshot/ls_ctclip_ft_pt_f100.yaml,done,,0.8534,,2.1502,,,,,runs/ctclip_run/best.pt,backfilled from runs/ctclip_run (eval on best.pt)
